Epoch,learning rate,training loss,training energy/scan RMSE (per atom),training energy/scan MAE (per atom),training forces[energy/scan] RMSE,training forces[energy/scan] MAE,training virial[energy/scan] RMSE (per atom),training virial[energy/scan] MAE (per atom),training mtt::dipole RMSE (per atom),training mtt::dipole MAE (per atom),validation loss,validation energy/scan RMSE (per atom),validation energy/scan MAE (per atom),validation forces[energy/scan] RMSE,validation forces[energy/scan] MAE,validation virial[energy/scan] RMSE (per atom),validation virial[energy/scan] MAE (per atom),validation mtt::dipole RMSE (per atom),validation mtt::dipole MAE (per atom)
,,,meV,meV,meV/A,meV/A,meV,meV,,,,meV,meV,meV/A,meV/A,meV,meV,,
  83,4.997e-05,5.544e+04,12.4473,11.3588,121.33, 93.41, 7.084, 4.791,0.02498,0.020383,1.198e+04,19.6213,19.5561,125.56, 97.21, 9.581, 6.630,0.026374,0.021550
  84,4.996e-05,5.152e+04,13.0722,12.2266,121.27, 93.39, 8.117, 5.512,0.02203,0.017834,9.368e+03,10.8132,10.7006,120.87, 93.24, 9.794, 6.727,0.016269,0.013334
  85,4.996e-05,5.990e+04,10.9442,10.7968,134.54,103.55,15.718, 8.798,0.01734,0.013861,9.922e+03,13.0404,12.9482,121.60, 93.99, 9.729, 6.694,0.019124,0.015645
  86,4.996e-05,7.207e+04,9.5237,9.0941,147.69,113.88,17.659,10.830,0.02399,0.019683,1.364e+04,17.8507,17.7829,138.90,108.48,16.826,11.114,0.024668,0.020796
  87,4.996e-05,6.172e+04,17.1565,16.3809,124.07, 95.79,10.220, 6.560,0.02900,0.024482,1.041e+04,12.8872,12.7897,123.89, 95.79,11.839, 8.045,0.020040,0.016814
  88,4.996e-05,4.814e+04,14.9255,14.1704,118.43, 91.30, 8.023, 5.337,0.02040,0.016639,9.167e+03,14.8620,14.7817,115.74, 89.40, 5.967, 4.324,0.019268,0.015295
  89,4.996e-05,5.090e+04,8.8591,7.3529,120.54, 92.86, 7.146, 4.957,0.02267,0.018278,1.330e+04,18.3304,18.2723,115.32, 89.10, 5.355, 3.928,0.036761,0.032515
  90,4.996e-05,7.356e+04,14.7919,12.5260,114.69, 88.28, 5.675, 3.974,0.03994,0.033451,1.616e+04,2.5177,2.0900,116.51, 89.72, 6.082, 4.417,0.045107,0.036060
  91,4.996e-05,6.549e+04,15.1978,13.5155,114.19, 88.00, 5.542, 3.946,0.03704,0.030579,1.013e+04,8.1856,8.0497,116.51, 89.91, 4.870, 3.650,0.024452,0.021578
  92,4.996e-05,5.055e+04,11.6113,11.0626,114.62, 88.29, 6.053, 4.245,0.02518,0.021158,1.101e+04,6.5696,6.3970,114.51, 88.33, 4.566, 3.441,0.029537,0.025642
  93,4.996e-05,6.442e+04,12.0119,11.3168,115.96, 89.35, 6.666, 4.633,0.03557,0.028123,1.074e+04,4.0269,3.7283,123.71, 95.55,14.811, 9.896,0.022270,0.019149
  94,4.996e-05,5.898e+04,9.7078,8.1050,118.65, 91.52, 9.963, 6.609,0.03031,0.025409,1.224e+04,9.4884,9.3773,130.00,101.31,17.383,11.439,0.024910,0.021533
  95,4.995e-05,5.581e+04,9.8408,8.9558,122.27, 94.48,11.514, 7.410,0.02533,0.021615,9.975e+03,16.3386,16.2732,118.33, 91.51, 9.594, 6.611,0.021671,0.017715
  96,4.995e-05,4.795e+04,10.5396,9.2742,113.88, 87.77, 7.383, 4.948,0.02376,0.019039,9.868e+03,15.0240,14.9539,121.03, 93.71, 9.627, 6.638,0.019084,0.014991
  97,4.995e-05,5.113e+04,8.9934,7.3323,123.77, 95.55,14.403, 8.471,0.01993,0.015797,1.312e+04,16.2517,16.1861,130.01,101.03,14.257, 9.541,0.028613,0.025145
  98,4.995e-05,6.755e+04,15.0481,13.3953,122.13, 94.51,13.247, 8.359,0.03447,0.028442,1.255e+04,1.5945,1.1948,114.61, 88.13, 4.443, 3.328,0.035202,0.028332
  99,4.995e-05,5.463e+04,11.7493,10.3181,116.38, 89.68, 8.679, 5.501,0.02830,0.023653,1.077e+04,10.3010,10.1974,122.52, 94.90, 9.664, 6.651,0.023367,0.020334
 100,4.995e-05,4.492e+04,9.8412,9.6712,117.35, 90.55, 9.104, 6.172,0.01727,0.013939,7.927e+03,9.0735,8.9547,109.84, 84.79, 4.514, 3.354,0.016538,0.013884
 101,4.995e-05,4.193e+04,8.0841,7.7078,111.21, 85.70, 7.228, 4.683,0.01824,0.014863,8.357e+03,10.0368,9.9380,109.68, 84.78, 6.465, 4.572,0.019359,0.015809
 102,4.995e-05,4.573e+04,7.7382,6.8523,114.54, 88.37, 9.854, 6.242,0.02057,0.017078,8.381e+03,9.9694,9.8721,115.28, 89.24, 7.380, 5.220,0.014572,0.011635
 103,4.995e-05,4.277e+04,9.0999,8.6109,114.80, 88.71, 9.820, 6.493,0.01597,0.012558,8.852e+03,10.1430,10.0480,118.89, 92.04, 9.137, 6.326,0.014424,0.011798
 104,4.995e-05,4.128e+04,9.1735,9.0454,115.59, 89.28, 9.503, 6.464,0.01307,0.010541,8.459e+03,7.2410,7.1108,117.75, 91.50,13.394, 8.987,0.012037,0.009454
 105,4.994e-05,4.084e+04,7.3884,7.2063,115.46, 89.19,10.954, 7.011,0.01176,0.009446,9.024e+03,6.3348,6.1877,122.38, 95.22,15.451,10.219,0.011199,0.009072
 106,4.994e-05,4.202e+04,6.7836,6.5554,116.75, 90.25,12.395, 7.468,0.01217,0.009668,7.209e+03,9.1605,9.0602,108.85, 84.09, 4.694, 3.514,0.011453,0.009461
 107,4.994e-05,3.955e+04,7.1672,6.6753,112.27, 86.60, 9.929, 6.097,0.01371,0.010830,8.041e+03,8.9567,8.8575,113.19, 87.51, 7.253, 5.140,0.014055,0.011330
 108,4.994e-05,3.946e+04,7.1383,6.7632,112.97, 87.35, 9.373, 6.305,0.01273,0.010256,7.643e+03,7.1670,7.0454,112.71, 87.42,11.535, 7.834,0.010530,0.008435
 109,4.994e-05,3.836e+04,7.2837,7.0217,112.47, 86.96, 9.907, 6.655,0.01103,0.008766,8.025e+03,6.7698,6.6415,115.51, 89.71,12.868, 8.645,0.010652,0.008514
 110,4.994e-05,3.915e+04,7.2584,7.1021,113.61, 87.86,10.961, 6.922,0.01083,0.008594,7.099e+03,8.6146,8.5129,108.58, 83.83, 5.426, 3.986,0.010643,0.008393
 111,4.994e-05,3.750e+04,6.7711,6.5266,111.21, 85.90, 9.448, 6.032,0.01113,0.008906,7.863e+03,7.0924,6.9716,114.89, 88.84, 8.465, 5.904,0.010278,0.008189
 112,4.994e-05,3.750e+04,6.1424,5.9362,111.20, 85.93, 8.855, 6.069,0.01115,0.008908,7.340e+03,6.7831,6.6612,110.20, 85.45,10.817, 7.357,0.010749,0.008735
 113,4.994e-05,3.752e+04,6.1475,5.9696,110.16, 85.06, 9.433, 6.179,0.01182,0.009545,8.268e+03,7.3780,7.2691,115.91, 90.17,13.956, 9.282,0.012398,0.009976
 114,4.993e-05,3.637e+04,6.5217,6.1699,108.51, 83.79, 9.053, 5.737,0.01268,0.010083,7.580e+03,6.5364,6.4089,112.54, 87.05, 7.881, 5.527,0.010559,0.008306
 115,4.993e-05,3.765e+04,6.7893,6.4492,111.14, 85.99,10.199, 6.396,0.01219,0.009780,7.459e+03,4.1721,3.9746,105.66, 81.57, 4.448, 3.349,0.017031,0.014535
 116,4.993e-05,3.768e+04,7.7026,6.6246,103.36, 79.72, 5.553, 3.827,0.01840,0.015553,8.853e+03,1.2725,1.0887,103.62, 80.08, 7.673, 5.335,0.025961,0.023933
 117,4.993e-05,3.521e+04,5.4928,4.6112,102.36, 78.86, 5.348, 3.719,0.01711,0.013936,9.141e+03,10.6380,10.5637,110.35, 85.68,11.446, 7.747,0.022975,0.018858
 118,4.993e-05,4.093e+04,7.5345,6.3400,105.52, 81.49, 7.830, 5.139,0.02160,0.017671,7.071e+03,9.7935,9.7129,102.82, 79.56, 6.412, 4.483,0.016216,0.013441
 119,4.993e-05,3.654e+04,6.9121,6.5671,103.75, 80.08, 6.415, 4.438,0.01745,0.014130,6.824e+03,4.4379,4.2582,103.35, 79.79, 4.231, 3.186,0.014250,0.011410
 120,4.993e-05,3.609e+04,5.5251,4.8987,101.01, 77.90, 4.759, 3.418,0.01852,0.015167,8.468e+03,2.4948,2.1556,101.20, 78.17, 4.319, 3.140,0.025552,0.021417
 121,4.993e-05,3.575e+04,4.9443,4.0169,100.56, 77.48, 4.974, 3.492,0.01923,0.015639,7.727e+03,9.8539,9.7776,102.27, 79.19, 7.303, 5.118,0.020775,0.018401
 122,4.993e-05,3.589e+04,6.8003,5.7624,101.69, 78.47, 6.021, 4.124,0.01828,0.015847,6.515e+03,8.3967,8.3078,100.98, 78.17, 6.331, 4.453,0.013561,0.011117
 123,4.992e-05,3.487e+04,6.0350,5.1100,101.52, 78.32, 5.836, 4.035,0.01711,0.014382,7.017e+03,2.9639,2.6913,102.22, 79.00, 4.346, 3.246,0.016754,0.014119
 124,4.992e-05,3.461e+04,6.0943,5.1271,100.99, 77.95, 5.755, 3.937,0.01730,0.014668,6.579e+03,2.1566,1.7757, 99.42, 76.86, 5.193, 3.706,0.015840,0.013438
 125,4.992e-05,3.821e+04,4.5706,3.5752, 98.68, 76.05, 4.996, 3.541,0.02189,0.017576,5.945e+03,5.6957,5.5635, 99.57, 76.95, 3.781, 2.821,0.009719,0.007776
 126,4.992e-05,4.717e+04,7.2334,6.6298,108.77, 84.14,11.501, 7.029,0.02542,0.020329,1.514e+04,1.4480,1.2844,121.76, 94.90,11.958, 8.019,0.040173,0.035585
 127,4.992e-05,4.872e+04,5.5831,4.5950,106.25, 81.95, 8.277, 5.360,0.02912,0.022628,7.420e+03,1.6550,1.2185, 98.59, 76.22, 5.092, 3.657,0.021740,0.019439
 128,4.992e-05,3.556e+04,6.3137,5.0699, 97.72, 75.39, 5.005, 3.532,0.02061,0.016765,6.422e+03,3.3159,3.0868, 99.87, 77.12, 3.826, 2.895,0.014238,0.011550
 129,4.992e-05,3.406e+04,5.4921,4.3666, 99.01, 76.33, 4.760, 3.360,0.01744,0.014095,6.626e+03,6.8278,6.7260,101.79, 78.86, 8.927, 6.118,0.013654,0.011268
