Epoch,learning rate,training loss,training energy/scan RMSE (per atom),training energy/scan MAE (per atom),training forces[energy/scan] RMSE,training forces[energy/scan] MAE,training virial[energy/scan] RMSE (per atom),training virial[energy/scan] MAE (per atom),training mtt::dipole RMSE (per atom),training mtt::dipole MAE (per atom),validation loss,validation energy/scan RMSE (per atom),validation energy/scan MAE (per atom),validation forces[energy/scan] RMSE,validation forces[energy/scan] MAE,validation virial[energy/scan] RMSE (per atom),validation virial[energy/scan] MAE (per atom),validation mtt::dipole RMSE (per atom),validation mtt::dipole MAE (per atom)
,,,meV,meV,meV/A,meV/A,meV,meV,,,,meV,meV,meV/A,meV/A,meV,meV,,
  43,4.999e-05,2.458e+02,11.5935,11.4751,283.11,221.95,21.989,12.763,0.09665,0.077945,6.731e+01,12.2118,12.0659,332.80,263.77,63.732,39.752,0.088364,0.072339
  44,4.999e-05,2.688e+02,11.8665,11.7603,295.46,231.61,45.424,25.457,0.09671,0.077422,4.922e+01,10.7745,10.6729,286.45,226.73,17.702,12.220,0.088361,0.072262
  45,4.999e-05,2.547e+02,10.7450,10.6246,285.38,223.78,43.638,24.343,0.09659,0.077620,3.943e+01,9.6835,9.5477,252.04,196.44,35.881,23.255,0.088355,0.072138
  46,4.999e-05,2.168e+02,10.2996,10.1851,267.29,209.78,21.893,13.293,0.09652,0.076939,4.269e+01,9.5941,9.4570,262.03,204.96,44.584,28.379,0.088537,0.072281
  47,4.999e-05,2.257e+02,9.8861,9.7644,269.62,210.98,47.208,27.996,0.09654,0.077356,5.046e+01,9.2417,9.1513,289.83,230.92,23.746,15.932,0.088771,0.072620
  48,4.999e-05,2.223e+02,9.2448,9.1178,265.34,208.39,32.852,18.509,0.09646,0.077566,4.727e+01,9.0648,8.9229,275.53,216.78,54.426,34.056,0.088552,0.072566
  49,4.999e-05,2.120e+02,9.0644,8.9456,259.67,203.79,32.976,18.997,0.09653,0.077281,3.082e+01,7.8298,7.7197,222.06,174.04, 7.741, 5.753,0.088496,0.072507
  50,4.999e-05,1.873e+02,8.4459,8.3138,244.25,190.40,42.171,24.277,0.09665,0.078292,3.468e+01,7.0802,6.9715,237.02,186.88,11.851, 8.312,0.088404,0.072373
  51,4.999e-05,1.897e+02,7.4339,7.2842,248.05,194.60,21.811,13.079,0.09636,0.077780,4.292e+01,7.4776,7.3257,261.39,205.31,52.631,32.852,0.088562,0.072506
  52,4.999e-05,1.924e+02,6.9242,6.7397,243.07,189.90,37.740,22.096,0.09669,0.078132,4.354e+01,5.5093,5.3895,267.43,213.23,25.843,17.036,0.088883,0.072864
  53,4.999e-05,1.762e+02,6.1527,5.9739,234.44,182.97,34.073,19.757,0.09636,0.077829,2.458e+01,4.7121,4.5300,194.00,150.53,22.984,15.191,0.088689,0.072682
  54,4.999e-05,1.803e+02,4.5089,4.2478,241.66,189.02,24.269,15.290,0.09635,0.077614,2.583e+01,4.2815,4.0749,198.96,154.49,29.550,19.065,0.088378,0.072392
  55,4.998e-05,1.509e+02,4.7381,4.4524,213.04,165.30,32.922,20.158,0.09666,0.078210,4.926e+01,2.9767,2.7744,284.94,228.74,36.525,23.323,0.088579,0.072506
  56,4.998e-05,1.792e+02,4.2442,3.9069,238.80,185.99,29.631,18.272,0.09649,0.077734,2.874e+01,5.0534,4.8792,210.72,163.92,34.393,21.843,0.089076,0.073085
  57,4.998e-05,1.779e+02,3.8622,3.4088,233.46,181.69,30.306,18.630,0.09637,0.077686,2.582e+01,1.7664,1.4461,200.13,156.87,14.536, 9.811,0.089856,0.074055
  58,4.998e-05,1.297e+02,3.4488,3.0745,199.00,154.44,27.091,16.306,0.09682,0.077908,3.059e+01,1.0838,0.9292,219.58,173.68,24.976,16.219,0.089714,0.073940
  59,4.998e-05,1.645e+02,1.5159,1.2145,229.59,179.71,29.223,17.988,0.09667,0.078063,3.063e+01,2.7174,2.4152,218.12,170.64,36.202,22.805,0.089866,0.074053
  60,4.998e-05,1.507e+02,2.3583,1.9655,210.31,163.46,29.898,18.177,0.09660,0.077690,3.713e+01,1.5631,1.2650,243.70,194.53,36.094,22.853,0.088889,0.072977
  61,4.998e-05,1.416e+02,2.0637,1.7030,207.43,161.32,28.065,17.465,0.09674,0.077454,1.855e+01,1.2417,1.0137,165.18,127.73,10.955, 7.452,0.088306,0.072469
  62,4.998e-05,1.454e+02,1.7524,1.4048,213.17,165.98,28.974,17.322,0.09650,0.077111,2.070e+01,1.2740,1.0216,175.84,136.29,18.931,12.458,0.088219,0.072259
  63,4.998e-05,1.231e+02,1.6081,1.3087,190.51,147.57,24.357,14.863,0.09608,0.077674,3.872e+01,2.9186,2.7303,248.60,199.37,41.697,26.095,0.088919,0.073038
  64,4.998e-05,1.457e+02,2.1552,1.7842,211.06,164.45,30.495,18.451,0.09625,0.077859,2.506e+01,1.2344,1.0038,195.71,152.46,26.334,16.896,0.089166,0.073288
  65,4.998e-05,1.439e+02,2.2441,1.8409,206.69,160.82,30.258,17.769,0.09642,0.077650,2.052e+01,2.6094,2.3826,174.78,136.29,19.300,12.674,0.088538,0.072566
  66,4.998e-05,1.112e+02,1.6480,1.3058,182.38,141.22,21.661,13.370,0.09591,0.076946,2.506e+01,3.5047,3.3471,195.70,154.11,28.277,18.045,0.088236,0.072453
  67,4.998e-05,1.381e+02,3.3257,3.0464,206.63,161.32,31.329,18.968,0.09629,0.077261,2.643e+01,1.9859,1.6761,201.80,158.25,29.314,18.610,0.088090,0.072326
  68,4.998e-05,1.308e+02,2.9742,2.4986,193.68,150.49,27.460,16.214,0.09636,0.078066,3.253e+01,4.3507,4.2261,225.91,180.25,38.733,24.250,0.087984,0.071852
  69,4.998e-05,1.233e+02,2.7545,2.2565,191.22,148.62,26.722,16.368,0.09626,0.077088,1.602e+01,2.4349,2.1677,150.91,116.61, 6.841, 4.848,0.088652,0.072793
  70,4.998e-05,1.290e+02,3.0166,2.7031,198.51,154.45,30.508,17.542,0.09575,0.077412,1.815e+01,2.0846,1.7867,162.57,125.98,15.019,10.029,0.088523,0.072645
